hidden,layers,lr,dropout,weight_decay,val_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
256,3,0.005,0.5,0.0005,0.949336,0.9739441660701503,0.8491620111731844,0.8914956011730205,0.8698140200286123,0.9852370374299256,0.9389755863290933
128,3,0.005,0.5,0.0005,0.947611,0.9748747315676449,0.8641265276779295,0.8812316715542522,0.872595281306715,0.9835887858642001,0.9367335787975025
256,3,0.005,0.3,0.0005,0.9473,0.9717967072297781,0.829483695652174,0.8951612903225806,0.8610719322990127,0.9847297265231889,0.9350425590465326
128,3,0.005,0.3,0.0005,0.945169,0.9712956335003579,0.8291182501708817,0.8892961876832844,0.8581535196321188,0.9821297799353564,0.9329923486239444
128,2,0.005,0.3,0.0005,0.944094,0.9634931997136722,0.7639060568603214,0.906158357771261,0.8289738430583501,0.9837714015064276,0.9344653174800709
256,2,0.005,0.3,0.0005,0.944082,0.9708661417322835,0.8357894736842105,0.8731671554252199,0.8540695589817139,0.983281537954044,0.9297136279521222
256,3,0.001,0.5,0.0005,0.943973,0.96521116678597,0.780690537084399,0.8951612903225806,0.8340163934426229,0.9834257694166954,0.930139422491917
256,2,0.005,0.5,0.0005,0.940558,0.9637079455977093,0.7676452217364147,0.9010263929618768,0.8290050590219225,0.9828765848595116,0.9312329181209007
128,2,0.005,0.5,1e-05,0.939686,0.967931281317108,0.8017127799736495,0.8922287390029325,0.8445523941707148,0.9827439558875051,0.9323627765899734
128,2,0.005,0.5,0.0005,0.938755,0.9612025769506084,0.7503045066991474,0.9032258064516129,0.8196939454424484,0.9818855751322626,0.9288064258515595
